,Commment,Category
43,.. la gente lo compra por bonito ... pero así la gente boba . ,0
44,! ! ! Deberían revisar el diseño de sus rines en combinación con las llantas para el valle de México . ,0
46,", esta es “ X ” . No creo que se acerque a las marcas premium , sobre todo en el área de vents , que dan muy mal servicio . Saludos , buen video . ",0
47,". Un saludo , excelente trabajo de Mazda ",0
48,lo demás muy bien . ,0
49,"Es claro que no se trata solo de materiales que puedes tocar mientras manejas , son muchas cosas más ! Incluso las marcas premium tienen gamas que no lo son , imaginen que tan lejos está mazda ... . Parcialidad de gabo ! Le falto sentarse atrás , no cabe , ",0
50,". esos carros llevan demasiados componentes copiados de los BMW pero por ser parecidos no quiere decir que sera premiun , como dice el admin mazda es una armadora que da mucha lana a los medios y en este creo que no es la excepción mazda ",0
51,"? 😒 . Ah mi Gabo ! ! ! .. Te faltó la matraca para seguir hablando bonito de Mazda , sin duda bonitos diseños pero ",0
52,"! ! .. Mazda es generalista y low cost en durabilidad de materiales , ensamble , motor y transmisión ... No seas del club de sobrevaluadores de esa marca pq hasta pareces vendedor de la marca . Creo que exageraste gabo no creo que sea la estrella de si segmento ",0
53,"empezando por el piano Black mal ubicado , su guantera , su altura hace que pege mucho en el suelo y su espacio creo que solo trataste de justificar su estrella de la ves pasada pero en fin en mi opinión el sentrs y jetta están mejores . El Mazda que en e l 2015 iniciaba con precios de 250.000 y tope de 350.000 , cada 3 años cambia su diseño y se devalua su reventa ... .. y luego ",0
54,", quizás el primer año ... .400.000 para que sea desgastado luego luego ... .no se . Muchas negativas como para ser la Estrella ",0
55,"No estoy de acuerdo y parece que si te pagaron para decir algo bueno , cuando el Sentra u otros parece que ya lo pasaron . Yo tengo uno , ",0
56,😣 . Mazda 3 : ,0
57,".. Ah , pero tiene buen motor : por eso amerita la estrella de este canal , que ya se convirtió en un repositorio de infomerciales . Yo todo emocionado Yo : mira mamá que bonito diseño Mi mamá : ",0
58,.. muy buen coche solamente . Por un momento me emocioné pensando que era el nuevo Mazda turbo : ( ,0
59,"y sus frenos NO me gustaron para nada , tengo que pisar a fondo el freno para que “ se sienta la frenada ” . Sus interiores muy bonitos pero MUY delicados . Pd . ¿Contra qué estoy comparando su manejo ? ... Audi A3 de 190hp . los mazda por lo menos aqui en Guatemala ya nadie los quiere , incluso versiones anteriores ya nadie las esta importando ! ! ",0
60,"! . Gabo aplaude el tablero del mazda , pero detesta el de FORD ... la verdad lo siento lo mismo y ",0
61,". 3 estrellas de 5 en prueba de choque ? Mmm , ",0
62, El Mazda 3 ,0
63,Esta de pensarse y tengo mis dudas si es bueno eso . ,0
64,", pensé que bajarían de precio por la oferta vs demanda ! . ",0
66,", hice cálculos y comprando una moto eléctrica de 70 mil pesos , solo se necesitan unos 200 pesos de electricidad para moverte 10 mil kilómetros . ",0
68,". un auto con un sobreprecio de 80mil pesos 6 airbags no justifica que su plataforma sea vieja e inservible en caso de choque , y que tenga una calidad de autos como chevy o ford , que ya tienen casi 20 años ",0
69,", incluso dentro de nissan un versa basico es un producto 1000 veces mejor . ",0
70,. Además le quisieron copiar la parte trasera al Swift 🤣 . ,0
71,Muy bien dicho . ,0
73,", pero si compartan casi el mismo precio , lamentable que nissan menosprecie a sus clientes en México . ",0
74,. 😂🤣😂🤣😂🤣😂🤣 mas de 200mil.. ? ,0
76,", mejor un semi nuevo muy chingon de 300,000 . ",0
77,. Gracias por los precios en la descripción gabo ... tu muy bien. ! ! ! Y ,0
78,RECIEN ADQUIRI UN ONIX PREMIER POR ESE MISMO PRECIO ! ! . ,0
79,. Gastos de gasolina Jimny : 13km/l Jeep : 5km/l ,0
80,". No van a ofrecer una versión con un motor que valga la pena ? Me encanta el diseño , pero",0
82,- Volkswagen México . ,0
83,". Que te puedes esperar de un `` POLO ELEVADO '' yo tuve uno , y lo vendí porque es muy pequeño , y muy lento ... Jeje.. ",0
84,.. 😂😂 . ,0
85,". Cómo alguien que trabajo para VW por años no puedo evitar reír por esto , ",0
86,"❤️ Tiene mayor espacio en cajuela , mayor espacio interior , su manejo es impecable , tal vez no tenga tantas pantallas o cámaras pero en practicidad es lo mejor ! . Descontinuaron el golf , el polo para traer un crossover lento , que le falta equipo ya que es la versión highline y con las mismas dimensiones que el golf y el polo Y además caro . ",0
87,... máster ! Dígalo x favor 🤑 . ,0
89,A mí me gusta mucho la marca vw pero ,0
91," No es mal auto , pero es que está casi en el rango del Jetta base , que le da varias vueltas a este , y el equipamiento es igual o superior en varios aspectos , que el jetta trae rines de acero ? 5mil y compras los de aluminio , fin del asunto , para una persona que tiene un vento , un city , río etc . ",0
92,"si es tu primer coche , pudiera ser opción , pero yo le echaría 25mil pesos más y me llevo el jetta turbo . Ya será decisión de cada quien . ",0
93,Yo ahí solo veo la marca : v ,0
95,no por venir de su país don Sergio significa que sea bueno . Está por encima del precio del Elantra y Forte y estos son mejores en todos los aspectos . ,0
96,wtf ! ! ! comercial disfrazado de review ni como ayudar esta basura . ,0
97," ni discos traseros , ni guata o alfombra en cofre ni tapa de cajuela , tablero chafisima y no se diga el clúster de instrumentos , precio muy alto y como es posible que solo hayan mandado una versión , mal por vw México que siempre los hacen tan austeros a comparación de otros países . Hasta la Renault Duster tiene motor más potente 133 HP que el de este vehículo . ",0
98, No es ser heater tío Sergio pero ,0
100,"Mi carro de 2004 tiene ese 1.6 🙄 en efecto bueno llevo 210k km , bien cuidado aún da sus 12k x litro estándar . Tambor ? ? ? No mames máster NO MAME ! El carro es malo por no ofrecer 6 bolsa ni 4 discos . Si nos basamos en lo que hay en el mercado y NOS igualamos a la basura general . NO ES LÓGICO . No tiene aire atrás , en todos sus vídeos SE QUEJA DE QUE NO TIENE NADA ATRAS , cordura ! Seamos un poco más honestos y esperando tener un poco más de valor y precio contenido . A falta de 2 bolsas de aire más . A falta de 2 discos de freno más . A falta de una consola central con aire a plazas traseras . Si hubiera aumentado 10k + su precio . SERIA el gran rompedor de ventas . A falta de todo eso , será un carro más de empresa sobrevalorado por compras de flotillas . Pan y vino , a quien le importa que compré el público mientras se vendan Flotillas . Saludos Sr Oliveira . ",0
103,"Ensanmblado en Brasil , la verdad hay mejores opciones y no pocas ... . . ",0
105,1 . El motor 2 . Calidad de materiales 3 . Seguridad 4 . Precio 5 . Ensamble brasileño . ,0
106,vw . ,0
107,"? ? ? ? ? ? . Siempre he estado de acuerdo contigo , Sergio , como cuando defiendes a Mazda o a Honda , pero no esta vez . ",0
109,... `` Costoso '' hace referencia a algo que tiene un precio elevado pero que si vale lo que cuesta . Saludos estimado . ,0
111,? . No gabo pero ese carro es muy sencillo y muy duro todo muy ,0
112,. Ahora si fallaste Gabo la ,0
113,El único bueno es el GTr pero no a todos les alcanza para uno . Ahora hay mejores opciones en el mercado . Incluso mazda es mejor . Toyota . Y no se diga honda . Q bien q lo cambieron porque ,0
114,? ? ? . ,0
115,Transmisión manual de 5 ! ! ! en estos tiempos ! ! ? ? ? Automática de 4 ! ! ? en alguna versión ! ! ? ? ? Sin olvidar las porquerias de cajas CVT ! ! ? ? ? ,0
117,En Chile por ese precio te compras un Ford Focus o un Kia Cerato sedan o Hyundai Elantra ( todos básicos ) . ,0
118,... empezaron a abaratar costos y lo primero fue la suspención . lo del ruido es una escusa muy mala . ,0
120,"mejor una suspensión trasera independiente como las generaciones anteriores . Pero los Mazdetos felices con cualquier cosa . Los MAZDA me dan hueva . Es un recalentado de recalentado de recalentado , , , que haga algo bien hecho original y ya . No que es una copia de varias marcas premium . Pues ahí es cuando tanto tirarle al Sentra por su suspensión trasera rígida contra la del tsuru que era independiente rinde frutos ... es una porquería que en 2019 costando lo que cuesta traiga el motor viejo y la suspensión trasera chafa . 5:09 , los detalles de atras estan bien cuidados como atras , no ps vale : D Master sinceramente no es el mismo auto de antes con un poco de ajustes ? La línea de la carrocería pudo variar un poco , pero perdió la suspensión trasera independiente que antes sí tenía , es el mismo motor , misma caja , mismo equipo ( casi ) . Mazda siempre dice que SkyActive es una plataforma completa no sólo el motor , así que basicamente estamos hablando del mismo mazda 3 de antes , de la nueva generación sin el motor por el asunto de la calidad de gasolina . ",0
121,", parece reseña de Versa , Tida , Tsuru , kicks los mismos carros feos e inseguros . Fijate que la Ram esta muy genial pero ",0
123,". Tengo una HR-V 2018 y puedo decir con total certeza lo siguiente : Lo bueno : *Excelente Rendimiento de combustible en su versión con caja CVT Lo malo : *Materiales apenas óptimos para los más de 320,000 pesos q pagas *poco nivel de equipamiento ( no cuenta ni siquiera con sensor de monitoreo de presión de llantas ) *los limpiaparabrisas son más ruidosos de lo q limpian *habitáculo mal insonorizado *asientos incómodos para viajes de más de 1 hora *Tela en puertas ? *Ruidos interiores debido a su mal ensamble *Los vidrios delanteros crujen si van a la mitad ( todas las versiones lo hacen ) Infinidad de malos detalles que te percatas de ellos al mes de uso ",0
124,", por eso le gana la F150 Platinum y la Ram 1500 limited . La probé y se maneja bien , tiene buenos acabados pero No me convenció su diseño , como que es dificil de digerir , ",0
125,", malos materiales mala ergonomía y espacios , diseño viejo y más caro que los Alemania . Este auto solo solo es para farolear la marca . Los repuestos son carisimos , tuve un XF y es un auto delicadisimo ",0
126,. Pero es muy bonito y tiene una potencia increíble . Despues de varios años de tener ,0
128,", le falta muchísimos extras y la versión srx o limited es la verdadera full , 7 airbags , control de estabilidad , bloqueo de diferencial trasero , camara de retroceso etc . ",0
131,si llegan a ver esto en la calle . ,0
132,... O que tal una lobo xlt 8 cilindros 4x4 doble cabina por 749 mil o si eres fan de chevrolet que tal un cheyenne ltz z71 v8 4x4 por 721 mil ( las encuentras mas baratas por la llegada de las 2019 ) o si quieres una buena camioenta y no quieres gastar mas de 700 mil una tacoma todas mejores que este vento 4x4 . ,0
134,", sin duda mucho mejor la lobo XLT doble cabina V8 4x4 . pues lo que si les puedo recomendar es que ",0
135,"1000 veces preferible Honda , Toyota ó Mazda ? . Ese posillo equipado seguramente llegará con tracción delantera y la misma caja X-tronic CVT ",0
136,. Cvt ... Misma potencia ... Y aparte en su slalom a baja velocidad se noto un mal balanceo de la carrocería talvez no es totalmente malo pero esta muy lejos de los mejores de su segmento ,0
137,"... np 300 , Frontier , 370z y nissan gtr . ",0
138,El único bueno es el GTr pero no a todos les alcanza para uno . Ahora hay mejores opciones en el mercado . Incluso mazda es mejor . Toyota . Y no se diga honda . ,0
139,definitivamente me quedo otros años con mi GLI wolfsburg edition 2010 std . ,0
140,( otra vez ) y soy fan de VW . A ,0
141,? . Espero que esta línea del Jetta no dure más de 6 años ! ! Está Horrib ,0
142,`` diseño '' y eso que desde el 2012 que no cambian la línea ! . ,0
143,"sin faros de niebla , poco nivel de materiales faltan muchas cosas en la parte trasera . No me parece correcto que cueste más de 500 mil y no traiga cromo en los botones del aire ( como audi ) , traiga plástico duro en las puertas de atrás , eso ",0
144,"? peor que chafa , hay algunos seat y audi que si lo traen y no cuestan lo mismo que el sobre valuado Jetta . Un Jetta 1.4 TSI cuesta 299 mil pesos , ",0
145,. Prefiero un Suzuki Swift o Seat Ibiza en versiones intermedias . ,0
146,", mejor le metimos 50,000 más y compramos una perrona mazda 3 2019 ",0
147,En Chile por ese precio te compras un Ford Focus o un Kia Cerato sedan o Hyundai Elantra ( todos básicos ) . ,0
149,... ah y con suspensión aún peor . ,0
150,", mejor una suspensión trasera independiente como las generaciones anteriores . Pero los Mazdetos felices con cualquier cosa . ",0
151,". Nel perdió el diseño refinado y estilizado por un diseño casi sin líneas , ",0
152,"Lamentablemente casi todos los autos de Nissan . No puedo creer que el interior del March sea literalmente igual al de un Chevy C2 2005 jajajajajajaja . Hasta en Europa conocido como `` Nissan Micra '' es igual o peor de inestable que la Kicks Por lo que se ve , esta marca ya no tiene futuro . Pues sí . Es una pena . ",0
153,". Ellos saben que pueden hacer mucho dinero vendiéndole a la gente con poco dinero . Y obviamente está excelente ver por esa gente también , pero lo que sí no se vale es que escatimen en la seguridad . Quitar barras contra impacto laterales y ofrecer versiones sin bolsas de aire y ABS simplemente es no tener madre . Como dices , la gente compra estos carritos por 1.- Facilidad en los créditos . 2.- Por inercia . La mayoría de la gente casi no sabe de carros . Simplemente si necesitas un coche nuevo y no tienes dinero ves qué coche hay mucho en la calle , anotas el nombre , ves que es Nissan , marca de `` confianza '' que lleva toda la vida en México , vas a la agencia te autorizan un crédito y sigues con tu vida normal . El problema es cuando un pecero se pasa un alto ( cosa que casi no pasa verdad ) y con que te pegue a 30 km/h en el costado ya te mató . Y sí , no todo en el March es malo , cuando salió todavía existía el Chevy , el Tsuru , coches aún peor que él . Como mencionas , es ahorrador , es espacioso , se ve `` bien '' , se arregla y mantiene fácil y barato y al final es un coche de agencia . La verdad es que vender un carro así lo puede hacer cualquier marca , pero inclusive como marca debes de tener ciertos valores . El verdadero reto y lo verdaderamente admirable es cuando una marca ofrece un producto seguro , de calidad y con el equipamiento necesario a un precio bajo . Eso es muy difícil de conseguir pero se puede y es cuando te das cuenta de que en una empresa hay buenos ingenieros , diseñadores , financieros , etc . y no solo cualquier egresado haciendo chambitas en su zona de confort . Bueno creo que me excedí pero me inspiré jajaja . Bye . Me gusta que seas asi GABO , estas diciendo la verdad ",0
154,". Cuando escuchamos Blazer esperamos una body on frame 4x4 que compita con la 4runner y la futura bronco , no un camaro en forma de SUV . ",0
156," Por el precio , Mejor un S4 ... ",0
157," Pues si , bonito y lujo , pero tan confiable como un auto chino . ",0
159,... por decirlo de alguna manera . ,0
160,"esta mucho mejor una np300 frontier diesel y mucho mas barata , una lobo lariat ... etc . Prefiero la frontier . ",0
161,El Vento de carga es muy caro para lo que ofrece . ,0
164,sé parece al Kia forte ! ! ! ? ? ? ? ? . Pues no es la gran cosa se parece al Yaris del toyota tipo boludo pero ,0
165,. Espero que esta línea del Jetta no dure más de 6 años ,0
166,"sin faros de niebla , poco nivel de materiales faltan muchas cosas en la parte trasera . ",0
167,". Tengo el 3 versión anterior 2014 2.5 188 hp , como nuevo solo 30 ml km , ",0
168,"No trae el motor sk X , no tiene susp trasera ind , y hasta menos espacio interior , para mi no vale la pena cambiarlo por este `` nuevo modelo '' . Además de que ya son tan comunes como los jettas y eres uno más con mazda 3. . ",0
169,? Bueno retrocedió por la suspensión pero sigue estando más caro . Mejor un Accord SPORT . Ni el burro con llantas del mazda 6 . Tiene más arranque el spark que ese mazda 6 . Ah pero los mazdetos creen que traen un premium jajajaja . ,0
170,jajaj . ,0
171,". Ahora está muy cuadrada y muy señorial , me parece un poco soso el diseño . Nel perdió el diseño refinado y estilizado por un diseño casi sin líneas , ",0
172,", lo siguen comprando por ser la opción fácil y “ segura ” . Mientras los consumidores no exijan mejores productos seguirán existiendo autos como estos . ",0
173,". Cuando escuchamos Blazer esperamos una body on frame 4x4 que compita con la 4runner y la futura bronco , no un camaro en forma de SUV . Gabo , no se de donde la vez bonita ! ! ! ",0
174,"... Mil veces la nueva Renault Duster o Tracker o Creta o Vitara ... .. En ese orden , mucho te fijas en la calidad del interior y para mi eso no es relevante desde mi punto de vista prefiero q me den más espacio , más altura libre al suelo , más diseño , mejor suspensión y más equipo . Por su tamaño no parecen de su segmento parecen de un segmento inferior por ejemplo que una Creta o Duster y obvio q te dan más interior suave y lujoso si cuestan 8mil a 10 mil dólares mas que su competencia y encima son mucho más chicas ... ... Noooooooo mal mal mal . ",0
175,. Recibió 1 estrella de calificación en el Euro Ncap ⚰️ ,0
176,"? . Tal vez si llegara el VW UP gti sería su competencia , pero ",0
177,... por decirlo de alguna manera . ,0
178,. Toyota camoma Mitsu Wv Entre otras ... . Prefiero la frontier . ,0
179,". Bueno que dejaste el precio para el final , si no hubiera dejado de ver el video al conocer que ",0
180,. Michos que mazda ,0
181,no dirian eso jaja que mecos . ,0
183,", esperemos que traiga mejor seguridad , frenos de disco en las 4 ruedas , que el motor tenga potencia y que el ruido del exterior no se escuche en el interior . Transmisión manual de 5 ! ! ! en estos tiempos ! ! ? ? ? Automática de 4 ! ! ? en alguna versión ! ! ? ? ? Sin olvidar las porquerias de cajas CVT ! ! ? ? ? ",0
186,", versiones R que no lo son y precios que no lo justifican para consumidores que siguen cayendo en la trampa . ",0
187,"Es una lástima que en México es complicado adquirir una , no por la solvencia , sino por que teniendo una de esas , eres blanco preferido de la delincuencia . ",0
189,", los primeros GLI e inclusive el Jetta Clásico GLI son mejores y a un precio más accesible en sus respectivas épocas . ",0
191,", casi es lo mismo que un 370 o un mustang para un 4 cilindros . ",0
192,. Y luego dice que no está comprado . ,0
193,"Hace un año traía mas equipo y mas accesible . Ahora trae menos equipo y arriba de 30 mil pesos más ? Que le pasa a este señor ya dio el viejaso en otro tiempo diría no vale la pena le quitaron mucho y subió mucho , por ese precio mejor otro segmento y mejor motor , mas amplio y etc etc . No ... .pues no , KIA llego , vendió a buen precio y ahora los kiamaniacos creen que traen un BMW , nada que ver , ",0
197,". Es dificil justificar los 80mil pesos adicionales del Civic , aunque me gusta mucho la estética de mini Accord , ",0
198,". lol , el civic no puede contra su peor enemigo : 80 mil pesos de diferencia . En lugar del civic , mejor un mazda 6 carbon o un toyota camry xle y te sobra para pagar el seguro y mantenimientos por unos dos años ",0
199,". El Honda Civic está monstrusamente sobrevalorado , ",0
200,"de paso , por el precio ni en su versión más equipada incorpora un espejo electrocromico y tampoco salidas de aire para los ocupantes traseros ( cosa que un Kia Forte si tiene ) ¿Quien en su sano juicio compraría un Civic Touring antes que un Jetta GLI , un Mazda 3 Turbo o un Forte GT ? . ",0
201,"vs las versiones tope de corolla y forte GT line Version mas equipada más cara que un GLI bastantemente superior Honda espera que su producto fracase o confía mucho en los honderos , que irónicamente son pocos los que tienen el dinero para comprar ests generación . Shale , se fué muy arriba en el precio . Y así amigos , es como estamos viendo como cada uno de esos autos mejorcitos de cada segmento van aumentando su costo por encima de la media . Primero el Seat León , cupra ni hablar ( aunque ese si justifica un poco ) , ahora Civic , quien sigue ? Mazda3 ? Jetta ? ",0
203,. si mal no recuerdo hace tres años este coche costaba en su versión de entrada un poco más de trescientos mil pesos ... ahora ya está cerca de cuatrocientos treinta mil.. . ,0
204,". La línea no me encanta , pero ciertamente trae excelente tecnología ... ",0
205,". Hahaha en gustos se rompen generos , pero ",0
206,Esta llegando el momento donde la gente ya no comprara carros nuevos por su excesivo precio . ,0
207,", casi todo igual , cambios estéticos por 5 mil dólares más ; los gringos ven algo de 3 mil dólares más y no lo compran , teniendo tanto poder adquisitivo . Espero que no se animen a pagar 100 mil más sólo porque es a pagos chiquitos . ",0
208,", un paso atrás respecto a la generación anterior , buen interior y su punto más flaco es el precio , que por mucho menos de eso te traes un mazda 3 que le da mil vueltas en diseño y con casi la misma confiabilidad . ",0
209,🤢🤢🤢🤮🤮🤮🤮 Quiero un Civic no un Jetta . ,0
210,! ! ! 👑🤷🏻‍♂️✌🏻 . Mil veces un mazda turbo con tracción integral . ,0
211,", y me impresiona que no lo mencionaras.. . ",0
212,"! Le quitaron lo juvenil , deportivo , diseño propositivo . ",0
213,". Dilo sin miedo gabo , ",0
214,"Muy bonito y buen equipamiento , de los mejores del segmento , pero su precio no le ayuda , si el precio tope fuera de 490,000 podría ser el mejor del segmento . ",0
215,Por la miniatura creí que era un video de hace 5 años o algo asi . ,0
216,. El video debería titularse : ,0
217,. Gracias Alonso por ser el único que hasta el momento ha mencionado ,0
219,"😔😔 . Yo soy de Honda desde hace varios años , pero ",0
220,. El Toyota Camry híbrido más equipado tiene un precio poco mayor de 600 mil pesos y el Corolla híbrido 456 mil pesos . ,0
221,". Lleve a servicio mi HR-V 2019 la semana pasada y me invitaron a la presentación del nuevo Civic , gracias pero no gracias . Los mismos vendedores han de estar rascándose la cabeza pensando como van a vender este auto a esos precios . Ojalá nadie lo compre porque si tiene cierto éxito las demás marcas escalaran sus precios viendo que hay gente que esta dispuesta a pagar tanto por tan poco . Tenía pensado cambiar mi actual HR-V por la nueva en cuanto llegue , pero , que precio tendrá ? Viendo el disparate del nuevo Civic la próxima HR-V va a partir de los $ 550 mil pesos seguramente 😒👎❗❗❗PD : esta versión más equipada no tiene cámara 360° , no tiene espejos habatibles eléctricamente , no tiene salida de aire acondicionado trasera , su pantalla se queda en 9 '' , por debajo de muchos rivales , etc etc . En serio Honda , en que carajo estaban pensando con el precio y como lo justifican ? ",0
223,pero siempre hay gente que tiene dinero para comprarlo asi que no creo que le vaya mal . ,0
224,. Conclusión de los primeros 7 min ... ,0
225,y siempre los `` youtubers '' justificando su pobre equipamiento.. . ,0
226,"juraría que desea vernos muertos , al grado de poner airbags más pequeñas en los Sandero , motores de 1.3 litros en vehículos pesados como el Duster y si a eso sumamos que los mismos directivos dicen `` no les vendemos más por qué sus gobiernos tercermundistas no lo exigen '' , la verdad estamos muy mal , pero aún así vaya que nuestro corazón tiene forma de rombo , pero esta vez si se pasaron de lanza y muy feo , con los números el comportamiento es predecible , pero vaya ¡ya tiene porta brazos derecho ! No me gustó el juego óptico trasero . Hay que aclarar que el motor equipado es pariente de Mercedes Benz y por eso subió el precio . La seguridad : es obvio que Renault nos quiere ver muertos . No fala el mamador que va salir con su `` pagar 370 k por un producto como este , para mí no lo vale '' y ande en un TIIDA . ",0
227,"La marca ofrece buena calidad , pero depende del modelo de Renault . La verdad que el Kwid , Kangoo y Koleos son muy buenos . Los Renault brasileños no son malos , en una empresa para la que trabajé tenían una flotilla de 3 Renault Kwid , todos con más de 90,000 km en menos de dos años y nunca dieron un problema mecánico . Eso sí , me consta que los modelos fabricados en Colombia por la ensambladora Sofasa son basura ( Duster , Logan , Sandero ) , puesto que esta empresa aunque pertenece a Renault no sigue los estándares de calidad de otras factorías de la marca . Mientras que el Kwid y Kangoo son autos durables y buenos para su precio , los Renault/Dacia tienen todo tipo de problemas con el sistema eléctrico , el aire acondicionado , puertas descuadradas , pintura defectuosa y mal ensamble . En Argentina la venden diésel 1.4 turbo 4x4 viene de Colombia y la seguridad es la misma 🤦‍♂️acá a chile llega la brasileña solo 1.6 tracción 4x2 ... . ",0
228,", difícilmente me da mas de 9 km/l , aunque en carretera si me ha llegado dar hasta 17 km/l , pero es mas lo que conduzco en ciudad , así que por el momento no me tiene satisfecho en ese sentido . ",0
230,", de 3 a 5 años les dura la transmisión , si no chequen el historial en redes , pregunten , y toda esa línea , desde el 2012 es el mismo problema en esa marca , el negocio de la Renault está en lo consumible y no en las ventas de vehículos , ahh y muy mala atención de servicio . Lo peor en marca . lastima que este moderlo aun llegando despues de siglos de estar en otros mercados , llega con una caja manual de 5 velocidades . ",0
231,con la competencia no le pronostico éxito hay mejores opciones de la competencia decepción total.😬👎 . ,0
233,", primero con ya no producir transmisión manual en México , ni traerlo con la versión 2 puertas y sobre todo con el precio elevadísimo , pero ya hacer un GTI con la misma potencia que un Jetta GLI si cagaron feo a un emblema de la marca como el Golf . ",0
234,"me caga que vw solo se ven masomenos en la versiones tope antes estan del navo , ESE MOTOR Y ESA TRANSMISIÓN SUPER MALOS vw solo vive de la fama de antes xD : v . ",0
235,"🐢 ... . No lo compraría mil veces mejor el CUPRA . Es un auto y solo sirve para llevarte de punto A al B , por muy equipado . ",0
236,"y un turbo así como un cluster digital . Perfectamente los puedes comprar por separado y te sale mucho más barato , te ahorras esos casi 90,000 extra . Realmente los materiales y acabados deja mucho que desear , “ Beats ” productos de menor valor traen mejor sonido , es más recuerdo que los VW o Seat tenían asientos Recaro , y te daban una experiencia de tener un auto realmente “ tuneado ” o que tuviera otras diferencias considerables vs la versión normal , ",0
237,", por más que le subí al volúmen nunca pude escuchar con claridad el ruido del motor y del aire acondicionado . Creo que no merece una estrella . ",0
238,Saludos . ,0
239,".. Sin ser `` GLI '' , aquí en Europa nadie quiere un Jetta , es la idea platónica de aburrimiento . Hola Gabo ",0
240,Corolla que se vé que está padrísimo . ,0
242,"..Sin salidas de aire traseras , sin usb , plásticos duros ademas de feo ! Etcc etc pfffffd . ",0
243,. así le decimos en argentina.. este es un producto 90 % de Fiat con apenas un 10 % de ram ( solo los logos ) lo mismo sucede con la `` ram '' 1000 que es una Fiat toro . . ,0
244,". Ahora si le ponen tantito peso pues truena su porquería de motor de licuadora , yo no sé a que estúpido se le ocurrió ponerle un motor tan patético y peor siendo Fiat . ",0
245,", porque un motor basura como ese de 1.3 litros sólo llega a 98 hp si lo fuerzas mucho a altas revoluciones y por ende más compresión en esa porquería . Todavía tienen el descaro de no ponerle turbo , y peor aún sabiendo la 💩💩💩 que produce Fiat , no será sorpresa que empiecen a descomponerse rápido 🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️ . ",0
246,"¿QUÉ LES COSTABA PONERLE EL MOTOR 2.0 de 145 HP y 145 lb pie del Sentra ? , con ese motor sin duda sería una mejor opción , sin embargo con esta motorización NO vale 453 mil pesos , ojalá nadie compre las 2 versiónes mas equipadas .  ",0
